freq,unit,penscheme,na_item,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MIO_EUR,S12P,D6121,NL	-684 	-653 	-438 	-365 	-344 	-279 	-110 	: 	: 	-94 	: 	: 
A,MIO_EUR,S12P,D6121,NO	: 	: 	: 	88 	270 	218 	229 	361 	382 	779 	: 	: 
A,MIO_EUR,S12P,D6121,PL	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6121,PT	: 	: 	: 	-13 	: 	: 	-186 	: 	: 	-85 	: 	: 
A,MIO_EUR,S12P,D6121,RO	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6121,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,MIO_EUR,S12P,D6121,SI	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6121,SK	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6121,UK	: 	: 	: 	122873 	: 	: 	-8314 e	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6131,AT	: 	: 	: 	0 	: 	: 	0 	: 	: 	0 	: 	: 
A,MIO_EUR,S12P,D6131,BE	: 	: 	: 	1086 d	: 	: 	1266 d	: 	: 	1301 d	: 	: 
A,MIO_EUR,S12P,D6131,BG	: 	: 	: 	224 	225 	257 	281 	302 	303 	368 	: 	: 
A,MIO_EUR,S12P,D6131,CH	14791 	14826 	16078 	19747 	19227 	19573 	19705 	21350 	20956 	21237 	: 	: 
A,MIO_EUR,S12P,D6131,CY	: 	: 	: 	92 	: 	: 	116 	: 	: 	121 	: 	: 
A,MIO_EUR,S12P,D6131,CZ	: 	1555 	: 	1711 	1753 	1954 	2126 	2164 	2228 	2613 	2896 	3221 
A,MIO_EUR,S12P,D6131,DE	51260 	: 	: 	53120 	: 	: 	58703 	: 	: 	63956 	: 	: 
A,MIO_EUR,S12P,D6131,DK	: 	: 	: 	1183 	: @C	: 	1232 	: 	: 	1407 	: 	: 
A,MIO_EUR,S12P,D6131,EE	: 	: 	: 	102 	: 	: 	118 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6131,EL	: 	: 	: 	60 	: 	: 	65 	: 	: 	72 	: 	: 
A,MIO_EUR,S12P,D6131,ES	: 	: 	: 	351 	: 	: 	361 	: 	: 	332 	: 	: 
A,MIO_EUR,S12P,D6131,FI	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: 	: 
A,MIO_EUR,S12P,D6131,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6131,HR	: 	: 	: 	663 	: 	: 	824 	: 	: 	976 	: 	: 
A,MIO_EUR,S12P,D6131,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6131,IE	: 	: 	: 	1166 	: 	: 	1562 	: 	: 	2266 	: 	: 
A,MIO_EUR,S12P,D6131,IS	: 	: 	: 	194 	: 	: 	374 	: 	: 	367 	: 	: 
A,MIO_EUR,S12P,D6131,IT	: 	: 	: 	2577 	: 	: 	3136 	: 	: 	3796 	: 	: 
A,MIO_EUR,S12P,D6131,LT	: 	0 e	91 e	98 e	189 e	224 e	267 e	376 	418 	503 	614 	: 
A,MIO_EUR,S12P,D6131,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
A,MIO_EUR,S12P,D6131,LV	: 	: 	: 	96 	130 	147 	165 	184 	177 	186 	: 	: 
A,MIO_EUR,S12P,D6131,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6131,NL	11231 	11087 	9901 	10266 	11083 	11193 	12349 	: 	: 	14655 	: 	: 
A,MIO_EUR,S12P,D6131,NO	: 	: 	: 	233 	230 	171 	165 	154 	159 	164 	: 	: 
A,MIO_EUR,S12P,D6131,PL	: 	: 	: 	578 	: 	: 	716 	: 	: 	764 	: 	: 
A,MIO_EUR,S12P,D6131,PT	: 	: 	: 	81 	: 	: 	66 	: 	: 	79 	: 	: 
A,MIO_EUR,S12P,D6131,RO	: 	: 	: 	1083 	: 	: 	1620 	: 	: 	1975 	: 	: 
A,MIO_EUR,S12P,D6131,SE	512 	501 	486 	491 	499 	494 	465 	439 	481 	491 	: 	: 
A,MIO_EUR,S12P,D6131,SI	: 	: 	: 	39 	: 	: 	42 	: 	: 	54 	: 	: 
A,MIO_EUR,S12P,D6131,SK	: 	: 	: 	112 	: 	: 	174 	: 	: 	245 	: 	: 
A,MIO_EUR,S12P,D6131,UK	: 	: 	: 	13263 	: 	: 	15009 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6141,AT	: 	: 	: 	626 	: 	: 	618 	: 	: 	616 	: 	: 
A,MIO_EUR,S12P,D6141,BE	: 	: 	: 	2190 d	: 	: 	2165 d	: 	: 	2037 d	: 	: 
A,MIO_EUR,S12P,D6141,BG	: 	: 	: 	109 	262 	412 	-233 	501 	211 	482 	: 	: 
A,MIO_EUR,S12P,D6141,CH	11785 	11839 	14074 	15298 	13196 	14496 	12485 	15983 	14770 	15209 e	: 	: 
A,MIO_EUR,S12P,D6141,CY	: 	: 	: 	114 	: 	: 	71 	: 	: 	86 	: 	: 
A,MIO_EUR,S12P,D6141,CZ	: 	: 	: 	164 	145 	118 	117 	159 	238 	201 	252 	550 
A,MIO_EUR,S12P,D6141,DE	27480 	: 	: 	24868 	: 	: 	28781 	: 	: 	32531 	: 	: 
A,MIO_EUR,S12P,D6141,DK	: 	: 	: 	2310 	: @C	: 	2530 	: 	: 	2154 	: 	: 
A,MIO_EUR,S12P,D6141,EE	: 	: 	: 	40 	: 	: 	75 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6141,EL	: 	: 	: 	24 	: 	: 	26 	: 	: 	23 	: 	: 
A,MIO_EUR,S12P,D6141,ES	: 	: 	: 	900 	: 	: 	553 	: 	: 	339 	: 	: 
A,MIO_EUR,S12P,D6141,FI	: 	: 	: 	268 	235 	254 	250 	253 	184 	190 	: 	: 
A,MIO_EUR,S12P,D6141,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6141,HR	: 	: 	: 	541 	: 	: 	136 	: 	: 	325 	: 	: 
A,MIO_EUR,S12P,D6141,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6141,IE	: 	: 	: 	2503 	: 	: 	2174 	: 	: 	1607 	: 	: 
A,MIO_EUR,S12P,D6141,IS	: 	: 	: 	329 	: 	: 	1372 	: 	: 	5293 	: 	: 
A,MIO_EUR,S12P,D6141,IT	: 	: 	: 	1171 	: 	: 	1110 	: 	: 	1097 	: 	: 
A,MIO_EUR,S12P,D6141,LT	: 	48 	82 	95 	67 	28 	29 	80 	22 	35 	42 	: 
A,MIO_EUR,S12P,D6141,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	181 	: 	: 
A,MIO_EUR,S12P,D6141,LV	: 	: 	: 	39 e	43 e	46 e	50 e	58 	49 	46 	: 	: 
A,MIO_EUR,S12P,D6141,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D6141,NL	21823 	23144 	24266 	27509 	27232 	25140 	24864 	: 	: 	24558 	: 	: 
A,MIO_EUR,S12P,D6141,NO	: 	: 	: 	2240 	2245 	2432 	2312 	2503 	2338 	2860 	: 	: 
A,MIO_EUR,S12P,D6141,PL	: 	: 	: 	965 	: 	: 	1014 	: 	: 	979 	: 	: 
A,MIO_EUR,S12P,D6141,PT	: 	: 	: 	386 	: 	: 	346 	: 	: 	186 	: 	: 
A,MIO_EUR,S12P,D6141,RO	: 	: 	: 	170 	: 	: 	74 	: 	: 	921 	: 	: 
A,MIO_EUR,S12P,D6141,SE	7375 	8187 	10738 	8763 	9483 	8042 	9644 	12197 	9550 	11759 	: 	: 
A,MIO_EUR,S12P,D6141,SI	: 	: 	: 	48 	: 	: 	40 	: 	: 	21 	: 	: 
A,MIO_EUR,S12P,D6141,SK	: 	: 	: 	71 	: 	: 	61 	: 	: 	105 	: 	: 
A,MIO_EUR,S12P,D6141,UK	: 	: 	: 	78406 	: 	: 	55100 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61SC_P,AT	: 	: 	: 	80 	: 	: 	86 	: 	: 	95 	: 	: 
A,MIO_EUR,S12P,D61SC_P,BE	: 	: 	: 	593 d	: 	: 	815 d	: 	: 	943 d	: 	: 
A,MIO_EUR,S12P,D61SC_P,BG	: 	: 	: 	71 	72 	79 	79 	87 	91 	107 	: 	: 
A,MIO_EUR,S12P,D61SC_P,CH	3583 	2831 	2689 	3184 	3095 	3810 	4255 	3423 	4351 	3790 	: 	: 
A,MIO_EUR,S12P,D61SC_P,CY	: 	: 	: 	7 	: 	: 	6 	: 	: 	9 	: 	: 
A,MIO_EUR,S12P,D61SC_P,CZ	: 	: 	: 	103 	124 	137 	150 	175 	178 	210 	222 	267 
A,MIO_EUR,S12P,D61SC_P,DE	2720 e	: 	: 	2620 e	: 	: 	2803 e	: 	: 	2731 e	: 	: 
A,MIO_EUR,S12P,D61SC_P,DK	: 	: 	: 	263 	: @C	: 	303 	: 	: 	383 	: 	: 
A,MIO_EUR,S12P,D61SC_P,EE	: 	: 	: 	33 	: 	: 	39 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61SC_P,EL	: 	: 	: 	6 	: 	: 	8 	: 	: 	9 	: 	: 
A,MIO_EUR,S12P,D61SC_P,ES	: 	: 	: 	328 	: 	: 	266 	: 	: 	324 	: 	: 
A,MIO_EUR,S12P,D61SC_P,FI	: 	: 	: 	85 	88 	87 	35 	100 	104 	100 	: 	: 
A,MIO_EUR,S12P,D61SC_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61SC_P,HR	: 	: 	: 	42 	: 	: 	47 	: 	: 	48 	: 	: 
A,MIO_EUR,S12P,D61SC_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61SC_P,IE	: 	: 	: 	1008 	: 	: 	1115 	: 	: 	1412 	: 	: 
A,MIO_EUR,S12P,D61SC_P,IS	: 	: 	: 	38 	: 	: 	46 	: 	: 	49 	: 	: 
A,MIO_EUR,S12P,D61SC_P,IT	: 	: 	: 	467 	: 	: 	528 	: 	: 	763 	: 	: 
A,MIO_EUR,S12P,D61SC_P,LT	: 	17 	19 	21 	23 	26 	30 	27 	26 	26 	28 	: 
A,MIO_EUR,S12P,D61SC_P,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
A,MIO_EUR,S12P,D61SC_P,LV	: 	: 	: 	35 e	43 e	46 e	26 e	24 	27 	36 	: 	: 
A,MIO_EUR,S12P,D61SC_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61SC_P,NL	5378 	5226 	5613 	8357 	8931 	7856 	8180 	: 	: 	9459 	: 	: 
A,MIO_EUR,S12P,D61SC_P,NO	: 	: 	: 	455 	402 	389 	410 	407 	403 	496 	: 	: 
A,MIO_EUR,S12P,D61SC_P,PL	: 	: 	: 	20 	: 	: 	14 	: 	: 	15 	: 	: 
A,MIO_EUR,S12P,D61SC_P,PT	: 	: 	: 	46 	: 	: 	37 	: 	: 	53 	: 	: 
A,MIO_EUR,S12P,D61SC_P,RO	: 	: 	: 	0 n	: 	: 	0 n	: 	: 	0 n	: 	: 
A,MIO_EUR,S12P,D61SC_P,SE	1299 	1437 	1534 	1551 	1534 	1668 	1733 	1566 	1712 	2038 	: 	: 
A,MIO_EUR,S12P,D61SC_P,SI	: 	: 	: 	20 	: 	: 	28 	: 	: 	37 	: 	: 
A,MIO_EUR,S12P,D61SC_P,SK	: 	: 	: 	41 	: 	: 	38 	: 	: 	130 	: 	: 
A,MIO_EUR,S12P,D61SC_P,UK	: 	: 	: 	24542 	: 	: 	22240 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61_P,AT	: 	: 	: 	2831 	: 	: 	3319 	: 	: 	3154 	: 	: 
A,MIO_EUR,S12P,D61_P,BE	: 	: 	: 	7324 d	: 	: 	8115 d	: 	: 	8080 d	: 	: 
A,MIO_EUR,S12P,D61_P,BG	: 	: 	: 	671 	847 	1051 	476 	1287 	1020 	1419 	: 	: 
A,MIO_EUR,S12P,D61_P,CH	41089 	41631 	46341 	54192 	51311 	52397 	49686 	57360 	57699 	60163 	: 	: 
A,MIO_EUR,S12P,D61_P,CY	: 	: 	: 	294 	: 	: 	316 	: 	: 	364 	: 	: 
A,MIO_EUR,S12P,D61_P,CZ	: 	1954 	: 	2065 	2083 	2287 	2500 	2592 	2757 	3136 	3500 	4136 
A,MIO_EUR,S12P,D61_P,DE	110790 	: 	: 	109668 	: 	: 	119086 	: 	: 	127322 	: 	: 
A,MIO_EUR,S12P,D61_P,DK	: 	: 	: 	5335 	: @C	: 	5650 	: 	: 	5679 	: 	: 
A,MIO_EUR,S12P,D61_P,EE	: 	: 	: 	380 	: 	: 	424 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61_P,EL	: 	: 	: 	214 	: 	: 	212 	: 	: 	219 	: 	: 
A,MIO_EUR,S12P,D61_P,ES	: 	: 	: 	3642 	: 	: 	3305 	: 	: 	3708 	: 	: 
A,MIO_EUR,S12P,D61_P,FI	: 	: 	: 	473 	417 	422 	491 	497 	386 	377 	: 	: 
A,MIO_EUR,S12P,D61_P,FR	: 	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61_P,HR	: 	: 	: 	1174 	: 	: 	926 	: 	: 	1267 	: 	: 
A,MIO_EUR,S12P,D61_P,HU	: 	: 	: 	: m	: m	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61_P,IE	: 	: 	: 	4828 	: 	: 	6389 	: 	: 	7276 	: 	: 
A,MIO_EUR,S12P,D61_P,IS	: 	: 	: 	878 	: 	: 	2669 	: 	: 	6597 	: 	: 
A,MIO_EUR,S12P,D61_P,IT	: 	: 	: 	10507 	: 	: 	12346 	: 	: 	12831 	: 	: 
A,MIO_EUR,S12P,D61_P,LT	: 	169 	245 	271 	334 	339 	381 	429 	414 	512 	628 	: 
A,MIO_EUR,S12P,D61_P,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	390 	: 	: 
A,MIO_EUR,S12P,D61_P,LV	: 	: 	: 	335 e	424 e	487 e	565 e	637 	606 	625 	: 	: 
A,MIO_EUR,S12P,D61_P,MT	: m	: 	: 	: m	: 	: 	: m	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D61_P,NL	45852 	49009 	48998 	45973 	45742 	44024 	44584 	: 	: 	49461 	: 	: 
A,MIO_EUR,S12P,D61_P,NO	: 	: 	: 	7541 	7299 	7502 	7459 	8067 	7459 	9592 	: 	: 
A,MIO_EUR,S12P,D61_P,PL	: 	: 	: 	2125 	: 	: 	2026 	: 	: 	2109 	: 	: 
A,MIO_EUR,S12P,D61_P,PT	: 	: 	: 	709 	: 	: 	672 	: 	: 	643 	: 	: 
A,MIO_EUR,S12P,D61_P,RO	: 	: 	: 	1252 	: 	: 	1694 	: 	: 	2896 	: 	: 
A,MIO_EUR,S12P,D61_P,SE	24935 	26561 	29240 	27651 	29018 	27655 	30373 	32629 	31153 	35217 	: 	: 
A,MIO_EUR,S12P,D61_P,SI	: 	: 	: 	145 	: 	: 	200 	: 	: 	215 	: 	: 
A,MIO_EUR,S12P,D61_P,SK	: 	: 	: 	485 	: 	: 	673 	: 	: 	946 	: 	: 
A,MIO_EUR,S12P,D61_P,UK	: 	: 	: 	250093 	: 	: 	98594 e	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D62_P,AT	: 	: 	: 	2457 	: 	: 	2777 	: 	: 	2852 	: 	: 
A,MIO_EUR,S12P,D62_P,BE	: 	: 	: 	4161 d	: 	: 	4870 d	: 	: 	5540 d	: 	: 
A,MIO_EUR,S12P,D62_P,BG	: 	: 	: 	50 	58 	55 	48 	60 	72 	81 	: 	: 
A,MIO_EUR,S12P,D62_P,CH	23299 	22839 	24578 	29297 	28991 	29452 	29464 	31866 	34631 	36199 	: 	: 
A,MIO_EUR,S12P,D62_P,CY	: 	: 	: 	273 	: 	: 	191 	: 	: 	215 	: 	: 
A,MIO_EUR,S12P,D62_P,CZ	: 	611 	: 	747 	872 	1027 	1086 	1100 	1246 	1538 	2409 	4085 
A,MIO_EUR,S12P,D62_P,DE	45200 	: 	: 	48630 	: 	: 	52912 	: 	: 	59752 	: 	: 
A,MIO_EUR,S12P,D62_P,DK	: 	: 	: 	3481 	: @C	: 	3911 	: 	: 	4016 	: 	: 
A,MIO_EUR,S12P,D62_P,EE	: 	: 	: 	18 	: 	: 	26 	: 	: 	: 	: 	: 
A,MIO_EUR,S12P,D62_P,EL	: 	: 	: 	221 	: 	: 	192 	: 	: 	193 	: 	: 
A,MIO_EUR,S12P,D62_P,ES	: 	: 	: 	4408 	: 	: 	4488 	: 	: 	3874 	: 	: 
